Time Period,USD,AUD,CAD,EUR,BRL,CHF,DKK,GBP,CZK,HUF,JPY,KRW,ZAR,TWD,TRY,SGD,SEK,PLN,NZD,NOK,MXN
20000313,0.059365366,0.054175174,0.051605742,0.035432743,0.20005466,0.022284454,0.039273317,0.059350165,0.052099839,0.11501969,0.000912465,,0.097563664,0.042921671,0.34961862,0.019983033,0.040011979,0.17686494,0.057658591,0.056136796,0.14059473
20000314,0.06017237,0.054274714,0.051294107,0.036241389,0.19905781,0.021980859,0.039273317,0.058653664,0.051998897,0.11401562,0.000101388,,0.097873085,0.042921671,0.34961862,0.019983033,0.040328245,0.17716047,0.057360053,0.057044921,0.13418112
20000315,0.060565817,0.052972945,0.05175373,0.03674307,0.19894994,0.022181909,0.037955634,0.058644256,0.052496057,0.11531339,0.001115222,,0.099241443,0.042916631,0.34928745,0.021229613,0.040323795,0.17697655,0.057152088,0.055825547,0.134132
20000316,0.06098432,0.054071633,0.051290508,0.036138523,0.18504638,0.022384964,0.039473286,0.058549472,0.052600749,0.11600531,0.000506933,,0.098324986,0.042919151,0.34945293,0.02123023,0.040483628,0.17721616,0.056858051,0.056737818,0.13415656
20000317,0.061080184,0.053478367,0.051761059,0.036342466,0.18209844,0.021778457,0.039273317,0.059449662,0.052099839,0.11451767,0.001520735,,0.097563664,0.042921671,0.30269917,0.022478529,0.04048587,0.17716047,0.057957122,0.056237702,0.13418112
20000320,0.061181048,0.053478367,0.052383301,0.036140311,0.19806088,0.021980859,0.039273317,0.059648653,0.052099839,0.11602369,0.001520735,,0.098338193,0.042921671,0.34961862,0.02310232,0.040011979,0.17706196,0.058056631,0.055934982,0.13317868
20000321,0.06066162,0.054163134,0.052372044,0.03573075,0.19541203,0.021472954,0.039570039,0.058639554,0.052189601,0.11446399,0.001013841,,0.097370084,0.042914111,0.33930321,0.025906217,0.040479143,0.17663879,0.05774442,0.057535821,0.13310611
20000322,0.061372471,0.053570062,0.052531057,0.036136736,0.17851688,0.022283095,0.039471154,0.058843197,0.052193327,0.11448187,0.0012166,,0.095833627,0.042916631,0.33945937,0.023724538,0.040007598,0.17510655,0.057351055,0.055825547,0.13313029
20000323,0.061377621,0.054469735,0.052379548,0.035835316,0.1755655,0.02582491,0.038968081,0.058151513,0.052096127,0.11349596,0.00131798,,0.097860002,0.042919151,0.32977001,0.02310159,0.039378309,0.1753453,0.057455052,0.055930703,0.13315448
20000324,0.061382773,0.05487194,0.052694907,0.036342466,0.17261049,0.025825823,0.038970159,0.05905167,0.052099839,0.10849168,0.001622111,,0.096633367,0.042921671,0.32005477,0.02310232,0.039380431,0.17499312,0.057658591,0.056035889,0.13317868
20000327,0.061584494,0.05487194,0.052227992,0.036443542,0.18758797,0.026331645,0.038060639,0.058255645,0.05230172,0.11050068,0.001419359,,0.096323913,0.042921671,0.32991764,0.022478529,0.038591201,0.1739093,0.057161023,0.05744851,0.13317868
20000328,0.060676719,0.054971474,0.052227992,0.036342466,0.18708903,0.026533968,0.038565937,0.05895217,0.051998897,0.10849168,0.000101388,,0.095549251,0.042921671,0.32991764,0.02176557,0.03906515,0.17528869,0.057658591,0.058154756,0.13317868
20000329,0.061690558,0.055572888,0.05285403,0.036950776,0.18364179,0.026534932,0.038972237,0.058757888,0.05291117,0.11152204,0.000304163,,0.099281819,0.042924192,0.33006545,0.022479221,0.039067238,0.17611912,0.056966428,0.056141107,0.12989304
20000330,0.061695763,0.055875787,0.052390809,0.037053736,0.16668991,0.025625285,0.038468929,0.059160741,0.051703379,0.11204149,0.000506934,,0.10317,0.042926713,0.34008591,0.022791851,0.039069327,0.17626003,0.057667687,0.057356611,0.12991607
20000331,0.061801879,0.055481763,0.052549937,0.037055615,0.16297352,0.025828562,0.039481816,0.059464167,0.05241393,0.11105339,0.000811086,,0.10194434,0.042929235,0.34024302,0.022376584,0.039071416,0.17640106,0.057473117,0.056452586,0.12993912
20000403,0.061387926,0.055871517,0.052698705,0.037051858,0.17465017,0.025725561,0.038466904,0.059852539,0.052103552,0.10951259,0.000811084,,0.099901724,0.042924192,0.32019391,0.021855359,0.039067238,0.17661192,0.058061241,0.056443869,0.12989304
20000404,0.061589681,0.056170139,0.05285403,0.036950776,0.17614924,0.025927909,0.039477551,0.059554008,0.051699723,0.11101971,0.000709702,,0.10021117,0.042924192,0.32019391,0.021231464,0.039382553,0.17690759,0.057563611,0.056645707,0.13029427
20000405,0.060681755,0.056369216,0.052231724,0.036647529,0.1771485,0.025320855,0.039477551,0.059852539,0.052305462,0.11101971,0.000912466,,0.10129615,0.042924192,0.32019391,0.020251037,0.038750905,0.17690759,0.058359809,0.056847542,0.13029427
20000406,0.061276776,0.056360526,0.052691109,0.036643854,0.1655771,0.0253191,0.038563902,0.059544309,0.052499826,0.10847561,0.000912464,,0.10126812,0.042919151,0.31005307,0.021022315,0.039378309,0.1771177,0.057455052,0.056536044,0.13024795
20000407,0.061080184,0.057061507,0.052694907,0.037151049,0.1616149,0.025623487,0.038565937,0.059151169,0.051897955,0.11050068,0.000811083,,0.099888092,0.042921671,0.32005477,0.021126834,0.039380431,0.17686494,0.056663434,0.056641319,0.13027111
20000410,0.061287047,0.056369216,0.05285403,0.037658327,0.17764812,0.025320855,0.039679669,0.059155955,0.052608319,0.11101971,0.000811084,,0.099281819,0.042924192,0.33006545,0.021766218,0.039067238,0.17700615,0.057464083,0.056544789,0.13029427
20000411,0.061287047,0.056369216,0.05285403,0.037961549,0.17707856,0.026029081,0.038972237,0.059155955,0.052103552,0.11101971,0.000811084,,0.098971358,0.042924192,0.33006545,0.021855359,0.038435572,0.17700615,0.05865837,0.057553935,0.12868923
20000412,0.061186167,0.055971059,0.052698705,0.037658327,0.17864727,0.026838433,0.039982842,0.059155955,0.052810221,0.11051736,0.000202776,,0.09943655,0.042924192,0.31031437,0.023103051,0.039067238,0.17661192,0.057464083,0.058663899,0.12868923
20000413,0.061377621,0.055763468,0.052224261,0.036441724,0.16657633,0.02703876,0.039170166,0.057952529,0.051995199,0.11011292,0.000811082,,0.10018374,0.042919151,0.31005307,0.023636193,0.03843153,0.17662539,0.057455052,0.058553618,0.12864404
20000414,0.061382773,0.055568664,0.052227992,0.037656386,0.16461471,0.026837447,0.04048587,0.057957122,0.052099839,0.10510493,0.000811083,,0.1005078,0.042921671,0.31018365,0.024260688,0.039380431,0.17666792,0.058056631,0.058457421,0.12866663
20000417,0.061186167,0.055971059,0.05285403,0.037860475,0.17964634,0.026029081,0.040488113,0.058160764,0.052608319,0.10901019,0.000202776,,0.10083103,0.042924192,0.31031437,0.023726849,0.038435572,0.17700615,0.057364553,0.059370187,0.13370431
20000418,0.060681755,0.055971059,0.053164674,0.037860475,0.17614924,0.026939597,0.040993363,0.05855885,0.051699723,0.10930268,0.000101388,,0.10083103,0.042924192,0.31031437,0.023726849,0.039382553,0.17690759,0.05845933,0.058764799,0.13370431
20000419,0.060883522,0.056767361,0.05285403,0.037860475,0.17664888,0.027850045,0.041700677,0.059155955,0.052305462,0.11005911,0.000101388,,0.1005216,0.042924192,0.32019391,0.022978288,0.038750905,0.17661192,0.057464083,0.058764799,0.13370431
20000420,0.061579308,0.056758548,0.053156943,0.038462855,0.16657633,0.028050203,0.040079501,0.061135867,0.052096127,0.10934676,0.000811082,,0.1023524,0.042919151,0.31005307,0.022477837,0.038746795,0.17465596,0.057455052,0.060369129,0.13365553
