,AUSTRALIA,EURO AREA,NEW ZEALAND,UNITED KINGDOM,BRAZIL,CANADA,DENMARK,JAPAN,MEXICO,NORWAY,SOUTH AFRICA,SINGAPORE,SWEDEN,SWITZERLAND,TAIWAN,TURKEY,CZECHIA,HUNGARY
2013-03-01,0.25788562,5.09299904,-0.09190208,-0.25438911,-0.13834568,0.44293471,-5.20643341,-0.24691205,-0.20972845,-0.01583605,-0.03025571,1.96223304,-0.08541026,-0.0576667,0.00463684,-0.28986232,0.42048218,-0.55442959
2013-04-01,0.29529692,4.99164529,-0.10408846,-0.40545001,-0.14336318,0.48044369,-5.15808429,-0.41912271,-0.3688175,-0.02906819,-0.08467722,2.50606276,0.05016938,-0.08428673,-0.11402369,-0.2926346,0.54110012,-0.66110157
2013-05-01,0.23913009,3.86041839,-0.04588911,-0.34648494,-0.15424059,0.41101176,-4.09624299,-0.34408982,-0.28745969,0.03711532,-0.07405147,2.41491942,0.00084506,-0.02051511,-0.21284944,-0.26813419,0.50290429,-0.61638699
2013-06-01,0.06464536,1.34860324,-0.03067366,-0.18594688,-0.23324605,0.38921863,-1.4084742,-0.15913354,0.09576824,0.00797666,0.0394767,1.59617686,-0.07119648,0.11016548,-0.29276104,-0.09627437,0.32848353,-0.50280849
2013-07-01,0.07082268,4.40805875,-0.0167202,-0.21977101,-0.2110195,0.56250276,-4.65632833,-0.43421127,-0.35700719,-0.02756757,-0.10860437,2.53636283,-0.03651462,0.00118091,-0.1931698,-0.20991765,0.36474952,-0.47284594
2013-08-01,0.07969157,4.20413451,-0.03624446,-0.19009715,-0.19940017,0.49901166,-4.38005278,-0.38284872,-0.29528138,-0.03807771,-0.13055737,2.0975447,0.03714239,0.01780801,0.00519,-0.19596381,0.33623411,-0.42823339
2013-09-01,-0.16619747,4.60684795,-0.20865693,-0.24094481,-0.32656818,0.68063493,-4.89112444,-0.60273454,-0.52105853,-0.07933887,-0.26489701,3.0596051,0.36819278,-0.1233915,0.06743972,-0.15462964,0.27127589,-0.47445444
2013-10-01,0.04452572,3.51928959,-0.04902057,-0.26907834,-0.29453165,0.56899316,-3.72184704,-0.48112395,-0.2786565,-0.03672961,-0.14593351,2.37567827,0.08230843,0.11023627,-0.14437365,-0.18413209,0.41545728,-0.51106183
2013-11-01,-0.00712008,3.29982992,-0.00358556,-0.22022801,-0.30994835,0.51469484,-3.52983907,-0.51294125,-0.21751977,-0.04996379,-0.18328987,2.54890357,0.08402457,0.15129019,-0.25196143,-0.17480491,0.4130452,-0.55058621
2013-12-01,1.02151502,9.76067388,-0.38712309,-0.3961559,-0.80000323,0.86726037,-11.17195941,-1.48527527,-0.97706626,0.03551908,-0.73441607,5.79625178,0.01335198,0.47503859,-1.50292063,-0.14323709,1.10462212,-0.47607587
2014-01-01,0.06653644,1.70768831,-0.02974271,-0.29097475,-0.32326956,0.45715904,-1.90654142,-0.59488918,-0.32559477,0.01339968,-0.2061233,2.87128813,0.01590682,0.07688574,-0.26118897,-0.13697747,0.35566394,-0.48922598
2014-02-01,0.07555943,0.97421646,-0.09411058,-0.21218896,-0.32091047,0.56088475,-1.1737835,-0.61089336,-0.27092416,-0.12708878,-0.19398021,2.59127613,-0.00867468,0.25130361,-0.20015217,-0.16180535,0.3267374,-0.40546555
2014-03-01,-0.25522159,1.23646798,0.05511831,-0.19086705,-0.19863227,0.31409304,-1.15948894,-0.36199653,0.01575396,0.11130272,-0.12009431,2.25046653,0.11009005,-0.10370529,-0.31678556,-0.16696518,0.15601715,-0.37555303
2014-04-01,0.08892343,-0.80078786,-0.052776,-0.25530138,-0.35760733,0.86130806,0.49773153,-0.94064067,-0.64744262,-0.01848374,-0.3659001,3.92639233,0.10873216,0.1899516,-0.6987397,-0.36461007,0.48663408,-0.65738371
2014-05-01,0.17318567,2.02845364,0.02467821,-0.26854244,-0.44802187,0.66756958,-2.3051043,-0.87577612,-0.44642251,-0.10818347,-0.27764135,4.13577667,0.13598787,0.28759107,-1.05334483,-0.34434639,0.57836054,-0.90421997
2014-06-01,0.17203872,1.0832924,-0.02585059,-0.25979451,-0.3614252,0.41799515,-1.37663261,-0.65735162,-0.33058359,-0.0250161,-0.23384364,3.37146704,0.07330965,0.15898857,-0.68208703,-0.23089544,0.53954358,-0.63315477
2014-07-01,0.0732016,1.21210113,-0.02744254,-0.25539885,-0.36024378,0.47716468,-1.5321073,-0.65678686,-0.17040986,0.10625226,-0.19756695,3.26943757,-0.04085297,0.20383516,-0.70797376,-0.24933703,0.44597804,-0.58985054
2014-08-01,-0.08382638,1.93106008,0.02502865,-0.11139733,-0.14577986,0.27877831,-1.71491644,-0.26960651,-0.13527052,0.017936,-0.10291507,1.92753277,-0.07326332,-0.13405461,-0.14800869,-0.08716368,0.25621325,-0.43034663
2014-09-01,0.08598127,0.71193388,-0.04499993,-0.12959166,-0.28194197,0.29845051,-0.78419291,-0.55042749,-0.17524776,0.07603992,-0.27913718,2.75596992,-0.01149748,0.08576608,-0.41394302,-0.15044514,0.24468608,-0.4374031
2014-10-01,0.12035003,-1.10954766,-0.07876638,-0.26017988,-0.34158745,0.3814626,1.03543003,-0.62879711,-0.20869627,0.06645786,-0.25072381,3.11348603,0.02496836,0.04217131,-0.50523776,-0.21552108,0.37440148,-0.5596703
2014-11-01,0.02162355,0.24379763,-0.00915249,-0.28735118,-0.41594798,0.35867324,-0.33874545,-0.69341442,-0.18610542,0.23134606,-0.24064672,3.22220711,-0.01110994,0.04089488,-0.44917184,-0.25545357,0.36884768,-0.60029114
2014-12-01,-0.27718704,-4.5270368,-0.08324976,-0.71101927,-0.40228735,-0.20045745,3.9489447,-0.53623055,0.47558875,0.93466471,-0.44322203,4.1580793,-0.25445946,0.31228511,-1.00870861,-0.09533822,0.2293188,-0.51968485
2015-01-01,0.29071977,-0.17493392,-0.12117974,-0.24600343,-0.44387138,0.37286308,-0.12304397,-0.91576737,-0.21858511,0.03961848,-0.26075312,3.72696452,-0.02723875,0.16414832,-0.58238507,-0.36204958,0.43691572,-0.55541843
2015-02-01,0.46399319,2.26073795,-0.10403916,-0.51111687,-0.68704289,0.62073577,-2.70520126,-1.20843091,-0.53041182,-0.0235375,-0.5327379,5.44226415,-0.05472352,0.3013546,-1.22943673,-0.28134708,0.46699216,-0.68805217
2015-03-01,0.53037418,-0.33037052,-0.22917529,-0.15912601,-0.82117222,0.53160853,-0.95209236,-1.37154076,-0.39311517,-0.02711995,-0.51097538,5.75802632,0.09312198,0.73433864,-1.41178024,-0.33970341,0.59488084,-0.69617917
2015-04-01,1.04801524,-7.16605458,-0.16146675,-0.12532319,-0.70098193,0.16340828,6.16346808,-0.93147836,-0.44269262,0.82471796,-0.50035056,4.37849487,-0.51621975,0.1521971,-0.75629353,-0.55040393,0.45363165,-0.33266798
2015-05-01,0.80342819,34.90070774,-0.03314803,-0.82940331,-2.57281275,2.49043029,-38.23658461,-3.41022661,0.60888228,-0.18859894,-1.33388349,15.57077019,-0.04753967,1.7588289,-7.31762351,-1.54346122,2.31424436,-1.93400982
2015-06-01,0.49883979,7.33452576,-0.47620519,0.15115395,0.18524681,-0.34724752,-5.70083662,0.06195922,-0.03789602,-0.41942115,-0.06898101,0.34711505,-0.33917317,-0.81639402,1.29420962,-0.30176024,-0.48848185,0.1233466
2015-07-01,0.2084206,-0.38179217,0.14681476,0.30480033,0.53351953,1.05681087,0.74720603,0.4296184,0.45566394,-0.61287044,0.47183208,-2.97374114,0.23969993,0.06389682,1.86930236,-0.94152771,-0.04337724,-0.57427695
2015-08-01,0.97434608,-7.01054737,-0.16276979,-0.20747881,-0.68438715,0.58594077,6.71555085,-0.72597269,-0.45982408,-0.00846987,-0.4734006,3.20498482,-0.31796414,0.41628511,-0.76983155,-0.36074678,0.17712416,0.10716107
2015-09-01,-3.02372549,25.57952943,1.75493798,4.71010987,6.63748162,-2.88811461,-15.40297014,6.1447047,2.11905092,-2.20016653,1.80352368,-25.12979803,-1.17239156,-4.30186873,8.64645719,0.87744796,-6.97761003,3.82340177
2015-10-01,-0.01721056,-7.51032217,-0.00561007,0.00604351,-0.81059283,0.16491155,6.29713446,-0.6386936,-0.16009542,0.36302164,-0.28402575,3.41869142,-0.02673543,0.44940344,-0.85849415,0.06648122,0.6569068,-0.11081407
2015-11-01,0.41795895,-6.95513342,-0.41537074,0.06769135,-0.62769378,0.59099034,6.97582862,-0.12920006,1.10789859,-0.58796148,-0.21971915,1.12941963,0.53698935,0.50417611,-1.13326934,0.32797683,-0.18193351,-0.40864831
2015-12-01,0.47197667,-2.81275691,-0.06937946,-0.13348704,-0.80927831,0.03261903,2.36101474,-0.89745078,-0.32088722,0.30075383,-0.31162646,3.29931323,0.26150297,0.37690602,-0.28870454,-0.15038874,-0.01994144,-0.29018559
2016-01-01,0.3818006,3.77836033,-0.20258493,-0.33626806,-0.96640415,0.35474917,-3.53169889,-1.14179385,-0.26899664,-0.34095848,-0.50089982,4.58325035,0.92739073,0.42572136,-0.85046873,-0.12843256,-0.10768289,-1.07508352
2016-02-01,-0.35661893,11.17193034,0.068682,1.30115272,1.23172756,1.21172195,-7.98037132,0.66115483,-0.44074358,-0.95599363,-0.30193456,-7.44834795,-0.74581576,0.08517944,4.1391164,1.05053861,-2.08767816,0.39630006
