,AUSTRALIA,EURO AREA,NEW ZEALAND,UNITED KINGDOM,BRAZIL,CANADA,DENMARK,JAPAN,MEXICO,NORWAY,SOUTH AFRICA,SINGAPORE,SWEDEN,SWITZERLAND,TAIWAN,TURKEY,CZECHIA,HUNGARY
2015-07-01,1.61329528,-0.28625374,-0.12550611,-1.1291749,-2.13190286,2.19130411,-0.41504595,-2.19900408,-0.51210103,0.14459618,-0.99177156,4.70271955,-0.02523167,2.09783042,0.03309367,-1.47775658,1.01500797,-1.50409871
2015-08-01,1.61183635,-0.15381234,-0.20607529,-1.09941753,-2.2153646,2.12771187,-0.27141689,-2.35749045,-0.58103001,-0.10286522,-0.83899913,4.91110139,0.26744575,2.18351304,-0.02737227,-1.62043124,1.0223452,-1.64967864
2015-09-01,1.76182259,-0.29498248,-0.21613759,-0.77712053,-2.36926959,1.80157181,-0.36156523,-2.39632541,-0.73704457,-0.23492292,-0.82766319,5.14789726,0.35149599,2.21293292,0.10456305,-1.59784139,1.17893831,-1.74634905
2015-10-01,2.50462998,-0.30816866,-0.32361217,-1.04616163,-3.20794612,2.32390558,-0.40155897,-3.1786413,-0.91859866,-0.33056247,-1.16952045,6.59470809,0.40989644,2.87475617,0.05684357,-2.15934879,1.5057156,-2.22633622
2015-11-01,1.88740677,-0.1621524,-0.25299648,-0.82357865,-2.4524386,1.50841348,-0.22806086,-2.4079061,-0.59717792,-0.30403943,-0.92900984,5.11318513,0.3721369,2.11971804,0.39083482,-1.57967376,0.97322082,-1.62788193
2015-12-01,1.56089728,-0.1763072,-0.10066986,-0.68368436,-2.14727354,1.24644452,-0.21870795,-1.95168937,-0.48445147,-0.24499628,-0.75982179,4.25275586,0.32966607,1.77920408,0.39962864,-1.26524079,0.81343285,-1.3491867
2016-01-01,1.98059026,-0.2911838,-0.21107385,-0.59102667,-2.30384101,1.2549614,-0.342076,-2.11517047,-0.63542286,-0.3827321,-1.01182847,4.67815692,0.47325993,1.94718002,0.45041127,-1.24243063,0.7879597,-1.44573361
2016-02-01,2.14031096,-0.3126147,-0.21337313,-0.64652191,-2.43784771,1.29797806,-0.37208085,-2.2622922,-0.6865157,-0.37766167,-1.13989032,4.98342219,0.49304818,2.09185691,0.45727985,-1.32471556,0.82194608,-1.51232848
2016-03-01,5.88992941,-0.98842282,-0.35673407,-2.06879488,-6.32285611,3.48854799,-1.10731194,-5.94929341,-2.00869954,-0.62487192,-3.63443439,12.6776545,1.04579016,5.63805359,0.05902986,-3.37126752,2.18207643,-3.54839533
2016-04-01,3.72803982,-0.57666232,0.00901013,-1.47991271,-4.30551513,2.27561098,-0.60887969,-3.59246409,-1.54349742,-0.1730699,-2.13463976,7.93546365,0.65211484,3.63487939,0.16550022,-1.98714571,1.09953308,-2.09836538
